Acronym,Definition
A/C, Aircraft
A/G, Air to Ground
A/H, Altitude/Height
AAC, Mike Monroney Aeronautical Center
AAF, Army Air Field
AAI, Arrival Aircraft Interval
AAP, Advanced Automation Program
AAR, Airport Acceptance Rate
ABDIS, Automated Data Interchange System Service B
AC, Advisory Circular
ACAIS, Air Carrier Activity Information System
ACAS, Aircraft Collision Avoidance System
ACC, Airports Consultants Council
ACC, Area Control Center
ACCT, Accounting Records
ACD, Automatic Call Distributor
ACDO, Air Carrier District Office
ACF, Area Control Facility
ACFO, Aircraft Certification Field Office
ACFT, Aircraft
ACI-NA, Airports Council International - North America
ACID, Aircraft Identification
ACIP, Airport Capital Improvement Plan
ACLS, Automatic Carrier Landing System
ACLT, Actual Landing Time Calculated
ACO, Aircraft Certification Office
ACO, Office of Airports Compliance and Field Operations
ACRP, Airport Cooperative Research Program
ADA, Air Defense Area
ADAP, Airport Development Aid Program
ADAS, AWOS Data Acquisition System
ADCCP, Advanced Data Communications Control Procedure
ADDA, Administrative Data
ADF, Automatic Direction Finding
ADG, Airplane Design Group
ADI, Automatic De-Ice and Inhibitor
ADIN, AUTODIN Service
ADIZ, Air Defense Identification Zone
ADL, Aeronautical Data-Link
ADLY, Arrival Delay
ADO, Airline Dispatch Office
ADP, Automated Data Processing
ADS, Automatic Dependent Surveillance
ADS-B, Automatic Dependent Surveillance-Broadcast
ADSIM, Airfield Delay Simulation Model
ADSY, Administrative Equipment Systems
ADTN, Administrative Data Transmission Network
ADTN2000, Administrative Data Transmission Network 2000
ADVO, Administrative Voice
AEG, Aircraft Evaluation Group
AERA, Automated En-Route Air Traffic Control
AEX, Automated Execution
AF, Airway Facilities
AFB, Air Force Base
AFIS, Automated Flight Inspection System
AFP, Area Flight Plan
AFRES, Air Force Reserve Station
AFS, Airways Facilities Sector
AFSFO, AFS Field Office
AFSFU, AFS Field Unit
AFSOU, AFS Field Office Unit (Standard is AFSFOU)
AFSS, Automated Flight Service Station
AFTN, Automated Fixed Telecommunications Network
AGIS, Airports Geographic Information System
AGL, Above Ground Level
AID, Airport Information Desk
AIG, Airbus Industries Group
AIM, Airman's Information Manual
AIP, Airport Improvement Plan
AIRMET, Airmen's Meteorological Information
AIRNET, Airport Network Simulation Model
AIS, Aeronautical Information Service
AIT, Automated Information Transfer
ALP, Airport Layout Plan
ALS, Approach Lighting System
ALSF1, ALS with Sequenced Flashers I
ALSF2, ALS with Sequenced Flashers II
ALSIP, Approach Lighting System Improvement Plan
ALTRV, Altitude Reservation
AMASS, Airport Movement Area Safety System
AMCC, ACF/ARTCC Maintenance Control Center
AMOS, Automated Meteorological Observation Station
AMP, ARINC Message Processor (OR) Airport Master Plan
AMVER, Automated Mutual Assistance Vessel Rescue System
ANC, Alternate Network Connectivity
ANCA, Airport Noise and Capacity Act
ANG, Air National Guard
ANGB, Air National Guard Base
ANMS, Automated Network Monitoring System
ANSI, American National Standards Group
AOA, Air Operations Area
AP, Acquisition Plan
APP, Approach
APS, Airport Planning Standard
AQAFO, Aeronautical Quality Assurance Field Office
ARAC, Army Radar Approach Control (AAF)
ARAC, Aviation Rulemaking Advisory Committee
ARC, Airport Reference Code
ARCTR, FAA Aeronautical Center or Academy
ARF, Airport Reservation Function
ARFF, Aircraft Rescue and Fire Fighting
ARINC," Aeronautical Radio, Inc."
ARLNO, Airline Office
ARO, Airport Reservation Office
ARP, Aerospace Recommended Practice
ARP, Airport Reference Point
ARRA, American Recovery and Reinvestment Act of 2009
ARSA, Airport Service Radar Area
ARSR, Air Route Surveillance Radar
ARTCC, Air Route Traffic Control Center
ARTS, Automated Radar Terminal System
ASAS, Aviation Safety Analysis System
ASC, AUTODIN Switching Center
ASCP, Aviation System Capacity Plan
ASD, Aircraft Situation Display
ASDA, Accelerate 
ASLAR, Aircraft Surge Launch And Recovery
ASM, Available Seat Mile
ASOS, Automatic Surface Observation System
ASP, Arrival Sequencing Program
ASQP, Airline Service Quality Performance
ASR, Airport Surveillance Radar
ASTA, Airport Surface Traffic Automation
ASV, Airline Schedule Vendor
ASV, Annual Service Volume
AT, Air Traffic
ATA, Air Transport Association of America
ATAS, Airspace and Traffic Advisory Service
ATC, Air Traffic Control
ATCAA, Air Traffic Control Assigned Airspace
ATCBI, Air Traffic Control Beacon Indicator
ATCCC, Air Traffic Control Command Center
ATCO, Air Taxi Commercial Operator
ATCRB, Air Traffic Control Radar Beacon
ATCRBS, Air Traffic Control Radar Beacon System
ATCSCC, Air Traffic Control Systems Command Center
ATCT, Airport Traffic Control Tower
ATIS, Automated Terminal Information Service
ATISR, ATIS Recorder
ATM, Air Traffic Management
ATM, Asynchronous Transfer Mode
ATMS, Advanced Traffic Management System
ATN, Aeronautical Telecommunications Network
ATODN, AUTODIN Terminal (FUS)
ATOMS, Air Traffic Operations Management System
ATOVN, AUOTVON (Facility)
ATS, Air Traffic Service
ATSCCP, ATS Contingency Command Post
AUTODIN, DoD Automatic Digital Network
AUTOVON, DoD Automatic Voice Network
AVN," Aviation Standards National Field Office, Oklahoma City"
AVON, AUTOVON Service
AWIS, Airport Weather Information
AWOS, Automated Weather Observation System
AWP, Aviation Weather Processor
AWPG, Aviation Weather Products Generator
AWS, Air Weather Station
BANS, BRITE Alphanumeric System
BART, Billing Analysis Reporting Tool (GSA software tool)
BASIC, Basic Contract Observing Station
BASOP, Military Base Operations
BCA, Benefit/Cost Analysis
BCR, Benefit/Cost Ratio
BDAT, Digitized Beacon Data
BMP, Best Management Practices
BOC, Bell Operating Company
bps, bits per second
BRI, Basic Rate Interface
BRITE, Bright Radar Indicator Terminal Equipment
BRL, Building Restriction Line
BUEC, Back-- up Emergency Communications
BUECE, Back-- up Emergency Communications Equipment
C/S/S/N, Capacity/Safety/Security/Noise
CAA, Civil Aviation Authority
CAA, Clean Air Act
CAB, Civil Aeronautics Board
CAC, Citizen's Advisory Committee
CAD, Computer Aided Design
CARF, Central Altitude Reservation Facility
CASFO, Civil Aviation Security Office
CAT, Category
CAT, Clear 
CAU, Crypto Ancillary Unit
CBI, Computer Based Instruction
CC&O, Customer Cost and Obligation
CCC, Communications Command Center
CCCC, Staff Communications
CCCH, Central Computer Complex Host
CCS7 -- NI, Communication Channel Signal-7 
CCSD, Command Communications Service Designator
CCU, Central Control Unit
CD, Common Digitizer
CDR, Cost Detail Report
CDT, Controlled Departure Time Stop Distance Available
CDTI, Cockpit Display of Traffic Information
CENTX, Central Telephone Exchange
CEP, Capacity Enhancement Program
CEQ, Council on Environmental Quality
CERAP, Center Radar Approach Control
CERAP, Central Radar Approach
CERAP, Combined Center/Radar Approach Control
CFC, Central Flow Control
CFCF, Central Flow Control Facility
CFCS, Central Flow Control Service
CFR, Code of Federal Regulations
CFWP, Central Flow Weather Processor
CFWU, Central Flow Weather Unit
CGAS, Coast Guard Air Station
CIP, Capital Improvement Plan
CLC, Course Line Computer
CLIN, Contract Line Item
CLT, Calculated Landing Time
CM, Commercial Service Airport
CNMPS, Canadian Minimum Navigation Performance Specification Airspace
CNS, Consolidated NOTAM System
CNSP, Consolidated NOTAM System Processor
CO, Central Office
COE, U.S. Army Corps of Engineers
COMCO, Command Communications Outlet
CONUS, Continental United States
CORP, Private Corporation other than ARINC or MITRE
CPE, Customer Premise Equipment
CPMIS, Consolidated Personnel Management Information System
CRA, Conflict Resolution Advisory
CRDA, Converging Runway Display Aid
CRT, Cathode Ray Tube
CSA, Communications Service Authorization
CSIS, Centralized Storm Information System
CSO, Customer Service Office
CSR, Communications Service Request
CSS, Central Site System
CTA, Control Area
CTA, Controlled Time of Arrival
CTA/FIR, Control Area/Flight Information Region
CTAF, Common Traffic Advisory Frequency
CTAS, Center 
CTMA, Center Traffic Management Advisor
CUPS, Consolidated Uniform Payroll System
CVFR, Controlled Visual Flight Rules
CVTS, Compressed Video Transmission Service
CW, Continuous Wave
CWA, Clean Water Act
CWSU, Central Weather Service Unit
CWY, Clearway
DA, Decision Altitude/Decision Height
DA, Descent Advisor
DA, Direct Access
DABBS, DITCO Automated Bulletin Board System
DAIR, Direct Altitude and Identity Readout
DAR, Designated Agency Representative
DARC, Direct Access Radar Channel
dBA, Decibels A-weighted
DBCRC, Defense Base Closure and Realignment Commission
DBE, Disadvantaged Business Enterprise
DBMS, Data Base Management System
DBRITE, Digital Bright Radar Indicator Tower Equipment
DCA, Defense Communications Agency
DCAA," Dual Call, Automatic Answer Device"
DCCU, Data Communications Control Unit
DCE, Data Communications Equipment
DDA, Dedicated Digital Access
DDD, Direct Distance Dialing
DDM, Difference in Depth of Modulation
DDS, Digital Data Service
DEA, Drug Enforcement Agency
DEDS, Data Entry and Display System
DEIS, Draft Environmental Impact Statement
DEP, Departure
DEWIZ, Distance Early Warning Identification Zone
DF, Direction Finder
DFAX, Digital Facsimile
DFI, Direction Finding Indicator
DGPS, Differential Global Positioning Satellite (System)
DH, Decision Height
DID, Direct Inward Dial
DIP, Drop and Insert Point
